Territory,Year,arson,attacks,attempted homicides,bag-snatching,bank robbery,blows,burglary,car theft,child pornography and possession of paedo-pornographic materials,corruption of a minor,counteractions of goods and industrial products,criminal association,culpable injuries,cybercrime,damage followed by arson,damages,exploitation and abetting prostitution,extortions,forest arson,homicides for theft or robbery,homicides from road accident,homicides of mafia,house robbery,infanticides,intellectual property violations,intentional homicides,kidnappings,mafia criminal association,manslaughter,mass murder,menaces,money laundering,moped theft,motorcycle theft,offences,other crimes,pickpocketing,post office robbery,receiving stolen goods,robberies,sexual activity with a minor,sexual violence,shop robbery,shoplifting,smuggling,street robbery,swindles and cyber frauds,terrorist homicides,theft from vehicle,theft of art objets,theft of cargo trucks carrying freights,thefts,total_crime,trafficking and drugs possession,unintentional homicides,usury,all_levels_education,"no educational degree, primary and lower secondary school certificate","tertiary (university, doctoral and specialization courses)",upper and post secondary
Friuli-Venezia Giulia,2021,1.9,0.6,1.3,4.9,0.0,23.1,180.6,12.6,1.3,0.5,4.4,0.9,94.6,19.4,4.4,247.9,1.3,12.2,0.2,0.0,2.3,0.0,1.8,0.0,0.3,0.2,1.1,0.0,0.0,0.0,84.8,1.8,5.7,16.8,0.0,618.2,39.7,0.0,14.5,13.9,0.7,10.9,3.4,61.1,0.1,5.9,640.2,0.0,78.1,0.4,0.1,793.2,3371.9,46.9,3.0,0.0,17.090457,21.768125,12.356491,16.939888
Italy,2011,21.4,0.7,2.3,29.1,2.2,25.0,337.4,209.0,0.5,0.2,15.2,1.5,112.8,11.4,17.3,656.3,2.5,10.0,9.7,0.0,2.1,0.1,4.7,0.0,3.2,0.9,2.4,0.2,0.1,0.0,137.2,2.2,46.3,70.1,107.7,664.9,220.9,0.7,39.1,66.8,0.8,7.6,10.3,152.7,1.7,34.0,174.1,0.0,323.2,1.2,2.0,2404.7,5384.1,56.0,2.9,0.6,25.419694999999997,0.0,0.0,0.0
Italy,2012,22.1,0.9,2.2,33.6,2.1,26.3,398.6,212.7,0.6,0.2,15.0,1.6,116.8,12.3,18.8,612.1,2.2,10.9,10.3,0.1,2.0,0.1,5.9,0.0,2.6,0.9,2.5,0.1,0.1,0.0,145.0,2.8,44.5,70.9,112.9,690.3,249.7,0.7,42.1,71.6,0.9,7.9,11.9,165.6,2.2,35.6,196.1,0.0,319.8,1.1,2.1,2554.0,5614.0,56.9,2.9,0.7,32.471287,0.0,0.0,0.0
Italy,2013,12.3,0.8,2.0,33.2,2.0,25.9,417.4,204.1,0.8,0.3,12.4,1.3,110.1,15.6,16.3,566.4,1.9,11.4,3.4,0.1,1.7,0.1,6.0,0.0,1.8,0.8,2.2,0.1,0.1,0.0,143.3,3.1,36.1,62.4,110.3,763.4,275.8,0.7,42.0,72.6,0.9,7.5,11.4,173.3,2.1,37.0,233.4,0.0,322.7,1.0,2.1,2581.2,5677.9,55.7,2.7,0.8,37.017916,0.0,0.0,0.0
Italy,2014,11.3,0.6,2.1,31.4,1.3,25.1,420.9,197.3,0.9,0.3,12.9,1.6,108.9,17.8,14.1,459.4,1.8,13.5,2.9,0.0,1.8,0.1,5.3,0.0,1.8,0.8,2.1,0.1,0.1,0.0,140.2,2.6,30.7,60.5,106.3,722.4,295.5,0.6,41.0,64.5,0.8,7.0,10.2,175.1,2.0,33.8,219.2,0.0,334.3,1.0,1.7,2588.0,5495.4,54.7,2.7,0.7,38.483892999999995,0.0,0.0,0.0
Italy,2015,14.7,0.7,2.0,29.3,1.3,25.1,386.5,188.4,1.0,0.2,13.9,1.4,105.5,16.2,14.7,468.9,1.6,16.2,6.3,0.1,1.8,0.1,5.0,0.0,2.0,0.8,1.9,0.1,0.0,0.0,135.9,3.0,26.7,55.8,96.5,691.6,285.2,0.5,38.0,57.7,0.8,6.6,8.8,168.0,1.8,30.4,238.8,0.0,317.1,0.8,1.8,2409.9,5267.2,53.7,2.9,0.6,35.972831,0.0,0.0,0.0
Italy,2016,13.2,0.5,1.8,27.5,0.9,22.8,353.1,182.4,0.8,0.2,12.8,1.1,104.2,17.9,14.0,412.1,1.6,15.8,5.6,0.0,1.9,0.1,4.2,0.0,1.7,0.7,1.7,0.1,0.0,0.0,123.7,2.9,24.1,50.9,26.0,694.9,267.5,0.6,35.8,54.3,0.8,6.7,8.0,158.0,0.7,29.7,249.8,0.0,294.1,0.8,1.6,2221.2,4873.4,59.6,2.7,0.7,35.224306,0.0,0.0,0.0
Italy,2017,17.0,0.5,1.8,26.5,0.7,23.4,323.5,170.2,0.9,0.3,10.5,1.0,107.1,17.5,16.2,418.0,1.3,14.0,8.5,0.0,1.9,0.1,3.8,0.0,1.3,0.6,1.7,0.1,0.0,0.0,125.0,3.1,22.2,47.1,3.4,725.8,263.2,0.4,33.1,50.5,0.8,7.7,7.5,148.5,0.6,27.9,271.2,0.0,267.9,0.7,1.2,2090.8,4791.7,65.4,2.8,0.5,33.796651,0.0,0.0,0.0
Italy,2018,7.9,0.5,1.7,24.5,0.5,23.1,316.7,171.2,1.0,0.2,9.8,0.9,108.2,22.0,12.7,426.5,1.0,16.5,1.9,0.0,1.8,0.0,3.5,0.0,1.0,0.5,1.6,0.2,0.1,0.0,124.1,3.1,17.9,43.3,0.0,719.4,251.8,0.4,30.1,47.1,0.8,8.1,6.9,140.3,0.7,26.6,313.0,0.0,252.0,0.5,1.1,1973.8,4703.7,66.8,2.9,0.3,31.79884,43.768924,18.009304,30.099942
Italy,2019,10.8,0.3,1.7,20.7,0.4,23.9,274.2,162.0,1.3,0.3,8.3,0.7,107.6,26.8,12.3,434.9,0.9,14.9,4.4,0.0,1.8,0.0,3.0,0.0,0.9,0.5,1.4,0.3,0.1,0.0,123.9,3.0,15.6,38.9,0.0,768.4,227.4,0.3,26.8,40.3,0.9,8.1,6.1,123.4,0.7,22.1,351.7,0.0,226.4,0.5,1.0,1777.3,4589.900000000001,65.2,2.9,0.3,29.854329999999997,41.455618,17.379137,28.053624
Italy,2020,10.6,0.4,1.5,15.7,0.2,22.8,184.2,127.3,1.8,0.3,4.9,0.8,90.3,32.5,11.6,374.7,0.6,14.7,5.0,0.0,1.4,0.0,2.6,0.0,0.4,0.5,1.3,0.2,0.0,0.0,118.2,3.0,12.0,30.0,0.0,748.8,124.4,0.2,20.5,33.6,0.7,7.6,5.1,86.2,0.8,18.6,417.5,0.0,142.3,0.4,0.7,1213.9,3931.8,59.1,2.8,0.4,28.133391,39.430208,16.515173,26.392895000000003
Italy,2021,11.8,0.4,1.6,18.9,0.2,25.6,211.0,139.0,2.0,0.3,5.8,1.0,99.5,37.3,13.4,431.6,0.6,17.0,5.6,0.0,1.7,0.0,2.8,0.0,0.4,0.5,1.3,0.2,0.1,0.0,119.8,2.3,13.7,33.3,0.0,790.9,157.3,0.1,20.9,37.4,0.8,8.9,5.4,96.1,0.9,21.8,498.5,0.0,136.4,0.5,0.4,1373.0,4318.4,52.7,3.0,0.3,28.639347,40.283186,15.432178,27.500892999999998
Lazio,2018,6.5,0.4,2.1,30.8,0.4,16.0,271.9,313.9,0.8,0.2,18.0,0.6,109.0,18.1,9.3,405.6,1.3,15.1,1.1,0.0,1.9,0.0,4.0,0.0,0.8,0.4,1.6,0.2,0.1,0.0,111.0,3.1,18.2,88.8,0.0,754.9,411.3,0.3,34.5,57.9,0.8,9.1,9.9,151.1,0.0,32.5,339.0,0.0,346.6,0.4,0.9,2584.5,5436.3,104.1,3.2,0.3,33.435962,43.283146,17.313878000000003,37.983926999999994
